gene_name,ensembl_id,disease_name,disease_id,association_score
CDH3,ENSG00000062038,EEM syndrome,MONDO_0009155,0.777584850289211
CDH3,ENSG00000062038,congenital hypotrichosis with juvenile macular dystrophy,MONDO_0011107,0.744838408802025
CDH3,ENSG00000062038,Hypotrichosis with juvenile macular degeneration,Orphanet_1573,0.7167443745862772
CDH3,ENSG00000062038,Retinal dystrophy,HP_0000556,0.5299324182742414
CDH3,ENSG00000062038,eye disorder,MONDO_0005328,0.3695798546847018
DEPDC1B,ENSG00000035499,smoking cessation,EFO_0004319,0.38331785120005624
DEPDC1B,ENSG00000035499,parasitic infectious disease,MONDO_0005135,0.3113237434594982
DEPDC1B,ENSG00000035499,senile cataract,MONDO_0004847,0.229586693788688
DEPDC1B,ENSG00000035499,systemic inflammatory response syndrome,EFO_1001478,0.19046257574477754
DEPDC1B,ENSG00000035499,cataract,MONDO_0005129,0.18911743870496045
DGAT2,ENSG00000062282,gout,MONDO_0005393,0.2982835444935854
DGAT2,ENSG00000062282,alcohol drinking,EFO_0004329,0.23514670957095868
DGAT2,ENSG00000062282,physical activity,EFO_0003940,0.2309263016308405
DGAT2,ENSG00000062282,type 2 diabetes mellitus,MONDO_0005148,0.17689667099992673
DGAT2,ENSG00000062282,Alzheimer disease,MONDO_0004975,0.16010494928419466
ITIH1,ENSG00000055957,"osteoarthritis, hip",MONDO_0006629,0.43088005214589625
ITIH1,ENSG00000055957,schizophrenia,MONDO_0005090,0.35816503276529466
ITIH1,ENSG00000055957,major depressive disorder,MONDO_0002009,0.3497563016266363
ITIH1,ENSG00000055957,bipolar disorder,MONDO_0004985,0.3314851575620733
ITIH1,ENSG00000055957,osteoarthritis,MONDO_0005178,0.3041309566226348
ITIH4,ENSG00000055955,Abnormality of the skeletal system,HP_0000924,0.46723251603044913
ITIH4,ENSG00000055955,coronary artery disorder,MONDO_0005010,0.42845009120209315
ITIH4,ENSG00000055955,type 2 diabetes mellitus,MONDO_0005148,0.3857206233262398
ITIH4,ENSG00000055955,hemorrhoid,MONDO_0004872,0.34503713405808245
ITIH4,ENSG00000055955,diabetes mellitus,MONDO_0005015,0.3310990656712187
JADE2,ENSG00000043143,Abnormality of the skeletal system,HP_0000924,0.5096914410699793
JADE2,ENSG00000043143,type 2 diabetes mellitus,MONDO_0005148,0.5041936022456204
JADE2,ENSG00000043143,smoking initiation,EFO_0005670,0.4435200074782898
JADE2,ENSG00000043143,smoking cessation,EFO_0004319,0.4400244751491344
JADE2,ENSG00000043143,diabetic neuropathy,MONDO_0006626,0.40685549145757005
LPAR2,ENSG00000064547,Alzheimer disease,MONDO_0004975,0.2268513749969195
LPAR2,ENSG00000064547,multiple sclerosis,MONDO_0005301,0.2251991477243374
LPAR2,ENSG00000064547,neurodegenerative disease,MONDO_0005559,0.22504258959145015
LPAR2,ENSG00000064547,Parkinson disease,MONDO_0005180,0.2248577996641078
LPAR2,ENSG00000064547,lysosomal storage disease,MONDO_0002561,0.22430342988208074
MCF2L2,ENSG00000053524,hypertrophic cardiomyopathy,MONDO_0005045,0.2851153245005701
MCF2L2,ENSG00000053524,jaw disease,EFO_0009468,0.2564367640208223
MCF2L2,ENSG00000053524,diabetic ketoacidosis,MONDO_0012819,0.24751830035986186
MCF2L2,ENSG00000053524,pituitary gland disorder,MONDO_0003381,0.2029394856334198
MCF2L2,ENSG00000053524,cervical carcinoma,MONDO_0005131,0.1992700148789267
MCM10,ENSG00000065328,immunodeficiency 80 with or without congenital cardiomyopathy,MONDO_0030266,0.6520610512892403
MCM10,ENSG00000065328,Alzheimer disease,MONDO_0004975,0.4633607428109449
MCM10,ENSG00000065328,multiple sclerosis,MONDO_0005301,0.462898767992589
MCM10,ENSG00000065328,neurodegenerative disease,MONDO_0005559,0.4619748183558772
MCM10,ENSG00000065328,lysosomal storage disease,MONDO_0002561,0.4619748183558772
MED17,ENSG00000042429,infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly,MONDO_0013351,0.7392368430682983
MED17,ENSG00000042429,hereditary disease,MONDO_0003847,0.47022608987222747
MED17,ENSG00000042429,neurodegenerative disease,MONDO_0005559,0.4619748183558772
MED17,ENSG00000042429,Intellectual disability,HP_0001249,0.1190226788958545
MED17,ENSG00000042429,microcephaly,MONDO_0001149,0.11207272658582282
MTHFD2,ENSG00000065911,neurodegenerative disease,MONDO_0005559,0.398346055368503
MTHFD2,ENSG00000065911,sign or symptom,EFO_0003765,0.25877724475497305
MTHFD2,ENSG00000065911,cancer,MONDO_0004992,0.11521245201908971
MTHFD2,ENSG00000065911,breast cancer,MONDO_0007254,0.11084710824593538
MTHFD2,ENSG00000065911,breast carcinoma,MONDO_0004989,0.10821239990027165
OSBPL3,ENSG00000070882,mathematical ability,EFO_0004875,0.32014048970923814
OSBPL3,ENSG00000070882,ovarian neoplasm,MONDO_0021068,0.2857000536751096
OSBPL3,ENSG00000070882,Abnormality of the integument,HP_0001574,0.27745853122623465
OSBPL3,ENSG00000070882,disorder of visual system,MONDO_0024458,0.2523558416568488
OSBPL3,ENSG00000070882,alcohol drinking,EFO_0004329,0.2465089023702692
OTC,ENSG00000036473,ornithine carbamoyltransferase deficiency,MONDO_0010703,0.8672822216812908
OTC,ENSG00000036473,hereditary disease,MONDO_0003847,0.5131930565848055
OTC,ENSG00000036473,Hyperammonemia,HP_0001987,0.3886640854597995
OTC,ENSG00000036473,Protein avoidance,HP_0002038,0.3400134663099256
OTC,ENSG00000036473,Abnormal circulating ornithine concentration,HP_0012025,0.3400134663099256
PACC1,ENSG00000065600,placental retention,EFO_0009578,0.2491241688082779
PACC1,ENSG00000065600,ovarian dysfunction,MONDO_0001889,0.22812700763390686
PACC1,ENSG00000065600,type 2 diabetes mellitus,MONDO_0005148,0.10262745388419803
PACC1,ENSG00000065600,neoplasm,MONDO_0005070,0.07151137141659095
PACC1,ENSG00000065600,hepatocellular carcinoma,MONDO_0007256,0.06869847035238039
POLQ,ENSG00000051341,melanoma,MONDO_0005105,0.4164298454631914
POLQ,ENSG00000051341,non-small cell lung carcinoma,MONDO_0005233,0.3778628704775349
POLQ,ENSG00000051341,lung adenocarcinoma,MONDO_0005061,0.372429156658686
POLQ,ENSG00000051341,colorectal adenocarcinoma,MONDO_0005008,0.3702506588733312
POLQ,ENSG00000051341,cutaneous melanoma,MONDO_0005012,0.36994943453938645
PON1,ENSG00000005421,amyotrophic lateral sclerosis,MONDO_0004976,0.40915739095301323
PON1,ENSG00000005421,diabetic retinopathy,MONDO_0005266,0.3767858312196307
PON1,ENSG00000005421,atopic eczema,MONDO_0004980,0.33721092299517397
PON1,ENSG00000005421,obesity disorder,MONDO_0011122,0.3130374486059839
PON1,ENSG00000005421,idiopathic pulmonary fibrosis,EFO_0000768,0.24042446517276214
RAD51,ENSG00000051180,Fanconi anemia complementation group R,MONDO_0014986,0.7410750821077937
RAD51,ENSG00000051180,Fanconi anemia,MONDO_0019391,0.625543242641039
RAD51,ENSG00000051180,mirror movements 2,MONDO_0013790,0.6183019638339687
RAD51,ENSG00000051180,cancer,MONDO_0004992,0.5551304126323588
RAD51,ENSG00000051180,breast cancer,MONDO_0007254,0.4749742272816723
SPA17,ENSG00000064199,neurodegenerative disease,MONDO_0005559,0.224503315085698
SPA17,ENSG00000064199,irritable bowel syndrome,MONDO_0005052,0.1940660485861106
SPA17,ENSG00000064199,Romano-Ward syndrome,Orphanet_101016,0.08460924867366708
SPA17,ENSG00000064199,familial long QT syndrome,MONDO_0019171,0.08302123795405784
SPA17,ENSG00000064199,cancer,MONDO_0004992,0.07746062724616291
SPDL1,ENSG00000040275,idiopathic pulmonary fibrosis,EFO_0000768,0.5150105462692716
SPDL1,ENSG00000040275,hypothyroidism,MONDO_0005420,0.4997355271851739
SPDL1,ENSG00000040275,interstitial lung disease,MONDO_0015925,0.4839416308659318
SPDL1,ENSG00000040275,prostate carcinoma,MONDO_0005159,0.48345543525175605
SPDL1,ENSG00000040275,renal carcinoma,MONDO_0005206,0.4470545810285464
USH2A,ENSG00000042781,Usher syndrome type 2A,MONDO_0010169,0.8397025026070053
USH2A,ENSG00000042781,retinitis pigmentosa,MONDO_0019200,0.8376052418002496
USH2A,ENSG00000042781,Usher syndrome,MONDO_0019501,0.7499826159022266
USH2A,ENSG00000042781,Usher syndrome type 2,MONDO_0016484,0.736448187018066
USH2A,ENSG00000042781,Retinal dystrophy,HP_0000556,0.6218940258434382
